text
mar lago
tonight
"""@flicka__: @realDonaldTrump for president"""
"The Mar-a-Lago Club was amazing tonight. Everybody was there, the biggest and the hottest. Palm Beach is so lucky to have best club in world"
"""@archangeljf12:  ;,@realDonaldTrump for President of the United States! @SenTedCruz Vice President ;A #WinningTicket2016 #TrumpCruz2016"""
"""@TalentlessCook: @realDonaldTrump You're only a year away from #2016 ...pick a running mate. Happy New Year"""
"""@yankeejayman: @realDonaldTrump @flicka__ Do u ever sleep?""  Not much!"
"""@JoshHammer77: @realDonaldTrump happy new year sir can't wait for #CelebrityApprentice"""
"""@SparkleAWin: @realDonaldTrump So excited for a New Year &amp; new Celeb Apprentice! Can't wait to see The Trumps back in The Boardroom!"""
"""@Danwolff22: @realDonaldTrump I believe in you to bring this country back to what it once was! MR. Trump for president!"" Thanks Dan!"
"""@tlowery19: @realDonaldTrump for president please! 😩"""
"""@jmcafee23: @realDonaldTrump please run for president this country needs you!"""
"""@archangeljf12: @realDonaldTrump Palm Beach is one of the greatest places in the World to Live!  #TrumpPOTUS2016 #HappyNewYear"
"""@SaraPattersonn: @realDonaldTrump hey be president"""
"""@ericleebow: @realDonaldTrump Hope you finally run for President. That should be your new year's resolution."" Good thought!"
"""@Felix_Whiskas: If you're interested in 'balancing' work and pleasure, stop! Instead make your work more pleasurable - @realDonaldTrump"""
"""@samanthajrose: @realDonaldTrump #Trumpfan #TrumpForPresident"""
"""@iintend: DonaldTrump At one time you were 900 million in debt and you came back. You never flinched. You have to respect that.""  Thank you"
"""@MarkFleming22: “If you're interested in 'balancing' work and pleasure, stop! Instead make your work more pleasurable - @realDonaldTrump""”"""
"""@seankesser: @LoreleiJP @realDonaldTrump @VeryOddDog Trump himself never ever filed for bankruptcy"" So true, thank you!"
"""@AlphaQuintesson: @realDonaldTrump please run for president you got my vote 💦🍑"""
"""@KdanielsK: @misstcassidy @AllAboutTheTea_ I definitely think Kenya is smarter than Brandi, but Kenya doesn't play well w/ others."""
"""@sean:  Icahn,Kravis,Buffet &amp; many other top business men've taken advantage of corporate bankruptcy law,yet people only point out Trump."
"""@diannelea1958: @ApprenticeNBC @realDonaldTrump @ChannelGuide So excited for this season."" It may be one of the best and most vicious ever."
"""@dungyots: .@realDonaldTrump with a solid cameo in #HomeAlone2 http://t.co/UV1XwDd7wF"" Thanks, it was great fun-who knew it would be so big"
"""@Madrina26: @realDonaldTrump So excited for Sunday and Celebrity Apprentice!!!"" You will love it, WILD!"
"""@KdanielsK: @misstcassidy @AllAboutTheTea_ @realDonaldTrump My money is on Kenya getting fired first."""
"""@UniqueCaptures: DonaldTrump: Even though I feel his personality is to strong for President, I agree it would be an entertaining campaign"""
"""@Photocritic: Oh please please please let @realDonaldTrump run for president. That would make my year."""
"""@misstcassidy: @KdanielsK @realDonaldTrump @AllAboutTheTea_ I just hope both last well half way into season w/lots of drama!"""
"""@FrisbieKaren: @realDonaldTrump #CelebrityApprentice my secret addiction! Now only if you would do a ""regular"" people edition."
"""@PianoBecca: @realDonaldTrump DONALD TRUMP FOR PRESEDENT OVER ALL OF AMERCIA!!!!!!!!"""
"""@JoshHadleySays: @realDonaldTrump @dungyots Yes, a sequel to one of the biggest hits of 1990s, who knew."""
"""@KdanielsK: @misstcassidy @realDonaldTrump @AllAboutTheTea_ This season is going to be great! Can't wait!"""
"""@_Snurk: @realDonaldTrump is SO AWESOME!! Man of nat'l unmatched merit, every1 needs TRUMP! A+ leader can rule- ELECT EXCELENT PREZ!!"""
"""@TellyPlanet: @realDonaldTrump can't wait for series4 to air on BBC One Sunday night :)"""
"""@trillacamila: we need @realDonaldTrump for president"""
"""@diannelea1958: @realDonaldTrump @ApprenticeNBC @ChannelGuide I love the cast this season."""
"""@StevenCena35: @realDonaldTrump look awesome in Home Alone 2 lost New York you look great in the movie today in @ABCFamily"""
"""@RustyHook2: @realDonaldTrump @trillacamila You would be a damn sight better than Jeb ! or ""Billary"" !"""
"""@brian_muldoon: @realDonaldTrump Headed to Trump Central Park for my wife's birthday!! Can't wait!!""  Have fun!"
"""@The_Edward_K: @realDonaldTrump Your a Genius sir #TrumpForPresident"""
"""@MorrisFrance: Excited for the Miss Universe! Hi @realDonaldTrump 👋👋"""
"""@diannelea1958: @MFonnest @realDonaldTrump @ApprenticeNBC @ChannelGuide Hell yes! It's gonna be fun."""
"""@FREDOSANTANASS: @realDonaldTrump is a great leader and definitely someone I look up to. Great role model"" Thanks."
"""@bbolaji9: Happy new year my president @realdonaldtrump"" Thank you."
"""@midniteracers: @realDonaldTrump Gets my vote for President. He's my hero! When I grow up I want to be like him."""
