,source,text,date,retweet_count,favorite_count,id_str,time
13890,Twitter for iPhone,"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!",2018-01-13,24624,117847,952166643202916352,13:13:12.000000
14136,Twitter for iPhone,“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. The unemployment rate has stayed at a 17-year low.” https://t.co/aL7aVoR7XC,2018-02-27,13566,57933,968550893015707648,18:18:22.000000
14280,Twitter for iPhone,"Obama Administration legalized bump stocks. BAD IDEA. As I promised, today the Department of Justice will issue the rule banning BUMP STOCKS with a mandated comment period. We will BAN all devices that turn legal weapons into illegal machine guns.",2018-03-23,17129,81865,977286489410240512,20:50:30.000000
14361,Twitter for iPhone,"While Security spending was somewhat more than his predecessor, Scott Pruitt has received death threats because of his bold actions at EPA. Record clean Air &amp; Water while saving USA Billions of Dollars. Rent was about market rate, travel expenses OK. Scott is doing a great job!",2018-04-08,18413,75853,982770847046922240,00:03:23.000000
14772,Twitter for iPhone,"Iger, where is my call of apology? You and ABC have offended millions of people, and they demand a response. How is Brian Ross doing? He tanked the market with an ABC lie, yet no apology. Double Standard!",2018-05-31,24735,99265,1002156016060989440,11:53:08.000000
14781,Twitter for iPhone,Canada has treated our Agricultural business and Farmers very poorly for a very long period of time. Highly restrictive on Trade! They must open their markets and take down their trade barriers! They report a really high surplus on trade with us. Do Timber &amp; Lumber in U.S.?,2018-06-01,19358,81997,1002539852171304960,13:18:21.000000
14887,Twitter for iPhone,"....Germany pays 1% (slowly) of GDP towards NATO, while we pay 4% of a MUCH larger GDP. Does anybody believe that makes sense? We protect Europe (which is good) at great financial loss, and then get unfairly clobbered on Trade. Change is coming!",2018-06-11,33307,139303,1005988633747312640,01:42:35.000000
15060,Twitter for iPhone,"....We are getting other countries to reduce and eliminate tariffs and trade barriers that have been unfairly used for years against our farmers, workers and companies. We are opening up closed markets and expanding our footprint. They must play fair or they will pay tariffs!",2018-06-26,13946,64592,1011571026034089984,11:25:01.000000
15182,Twitter for iPhone,"What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are their only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe’s protection, then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY, not by 2025.",2018-07-11,4129,0,1017088833890942976,16:50:49.000000
15183,Twitter for iPhone,"What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe’s protection, then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY, not by 2025.",2018-07-11,29470,119730,1017093020783710208,17:07:27.000000
