,Date,Open,High,Low,Close,Adj Close,Volume,change
0,2015-01-02,57.255001,57.445,56.060001,56.610001000000004,52.813873,4261200,-0.644999999999996
1,2015-01-05,56.23,56.43,55.5,55.744999,52.00687,3445400,-0.4850009999999969
2,2015-01-06,55.875,55.900002,54.41,54.814999,51.139244,5321000,-1.0600009999999997
3,2015-01-07,55.299999,55.384997999999996,54.860001000000004,55.384997999999996,51.671017,3437000,0.08499899999999627
4,2015-01-08,55.740002000000004,56.41,55.740002000000004,56.355,52.575966,2663400,0.6149979999999928
5,2015-01-09,56.360001000000004,56.404999,55.700001,55.805,52.062859,1801600,-0.5550010000000043
6,2015-01-12,55.805,55.915001000000004,55.119999,55.615002000000004,51.885601,2758800,-0.18999799999999567
7,2015-01-13,56.055,56.73,55.169998,55.845001,52.100163,4351400,-0.20999899999999627
8,2015-01-14,55.439999,55.68,54.974998,55.575001,51.848282,6572600,0.13500200000000007
9,2015-01-15,55.700001,55.825001,54.560001,54.700001,51.031948,3146800,-1.0
10,2015-01-16,54.505001,55.669998,54.505001,55.584998999999996,51.857605,2270000,1.0799979999999962
11,2015-01-20,55.595001,55.724998,54.84,55.23,51.526416999999995,2322000,-0.36500100000000657
12,2015-01-21,55.115002000000004,55.474998,54.855,55.134997999999996,51.437782,2510000,0.01999599999999191
13,2015-01-22,55.470001,56.299999,54.880001,56.285,52.510666,2216800,0.8149989999999931
14,2015-01-23,56.200001,56.424999,55.924999,56.130001,52.366054999999996,2763200,-0.07000000000000028
15,2015-01-26,56.080002,56.634997999999996,55.610001000000004,56.630001,52.832527,1768800,0.5499989999999997
16,2015-01-27,56.014998999999996,56.564999,55.880001,56.330002,52.552654000000004,1532800,0.31500300000000436
17,2015-01-28,56.564999,56.689999,55.34,55.494999,51.773647,1941400,-1.0700000000000003
18,2015-01-29,55.68,56.165001000000004,55.215,56.150002,52.38472,1914800,0.4700020000000009
19,2015-01-30,55.855,56.0,54.880001,54.985001000000004,51.29784,4240800,-0.8699989999999929
20,2015-02-02,55.200001,55.665001000000004,54.455002,55.650002,51.918243,2352000,0.4500010000000003
21,2015-02-03,55.985001000000004,56.724998,55.895,56.634997999999996,52.8372,2091600,0.6499969999999919
22,2015-02-04,56.435001,56.904999,56.384997999999996,56.514998999999996,52.725243000000006,3254200,0.07999799999999624
23,2015-02-05,56.740002000000004,57.375,56.66,57.255001,53.415627,1763800,0.514998999999996
24,2015-02-06,57.395,57.584998999999996,56.994999,57.209998999999996,53.373631,3743000,-0.18500100000000685
25,2015-02-09,57.035,57.349998,56.634997999999996,56.68,52.879177,1941600,-0.3549999999999969
26,2015-02-10,57.060001,57.075001,56.264998999999996,56.970001,53.149733999999995,1930600,-0.0899999999999963
27,2015-02-11,56.875,57.055,56.514998999999996,56.919998,53.103081,1542000,0.04499799999999965
28,2015-02-12,57.305,57.66,57.154999,57.619999,53.756138,1225800,0.31499900000000025
